tag,count,subtag,subtag_count
M/M,4626,Anal,1732
M/M,4626,Oral,1367
M/M,4626,Wolf,1293
M/M,4626,Gay,1166
M/M,4626,Fox,818
M/M,4626,Human,702
M/M,4626,Dragon,529
M/M,4626,Cum,509
M/M,4626,Story Series,491
M/M,4626,Gay Relationships,403
M/M,4626,Transformation,375
M/M,4626,Male,373
M/M,4626,Character Development,367
M/M,4626,Plot Development,365
M/M,4626,Canine,351
M/M,4626,Love,351
M/M,4626,Tiger,348
M/M,4626,Story Progression,339
M/M,4626,Lion,325
M/M,4626,Domination/Submission,306
M/M,4626,Romance,298
M/M,4626,Horse,286
M/M,4626,Rimming,286
M/M,4626,M/F,285
M/F,3868,Human,1010
M/F,3868,Vaginal,930
M/F,3868,Oral,875
M/F,3868,Wolf,653
M/F,3868,Fox,467
M/F,3868,Dragon,452
M/F,3868,Love,442
M/F,3868,Anal,439
M/F,3868,Transformation,339
M/F,3868,Story Series,330
M/F,3868,Cum,317
M/F,3868,Female,312
M/F,3868,Rape,311
M/F,3868,Story Progression,308
M/F,3868,Male,295
M/F,3868,Romance,294
M/F,3868,Feline,291
M/F,3868,M/M,285
M/F,3868,Character Development,284
M/F,3868,Incest,284
M/F,3868,Canine,280
M/F,3868,Plot Development,265
M/F,3868,Impregnation,243
M/F,3868,First Time,242
Wolf,3517,M/M,1293
Wolf,3517,Fox,918
Wolf,3517,M/F,653
Wolf,3517,Oral,597
Wolf,3517,Anal,587
Wolf,3517,Human,545
Wolf,3517,Gay,542
Wolf,3517,Story Series,504
Wolf,3517,Male,409
Wolf,3517,No-Yiff,393
Wolf,3517,Plot Development,372
Wolf,3517,Story Progression,363
Wolf,3517,Character Development,346
Wolf,3517,Dragon,332
Wolf,3517,Canine,318
Wolf,3517,Tiger,270
Wolf,3517,Love,265
Wolf,3517,Romance,256
Wolf,3517,Cum,234
Wolf,3517,Gay Relationships,219
Wolf,3517,Transformation,216
Wolf,3517,Magic,213
Wolf,3517,Husky,211
Wolf,3517,Lion,210
Human,3287,M/F,1010
Human,3287,M/M,702
Human,3287,Dragon,548
Human,3287,Wolf,545
Human,3287,Story Series,461
Human,3287,Oral,450
Human,3287,Story Progression,425
Human,3287,Anal,390
Human,3287,Plot Development,388
Human,3287,Transformation,381
Human,3287,No-Yiff,353
Human,3287,Male,352
Human,3287,Character Development,322
Human,3287,Love,302
Human,3287,Fantasy,297
Human,3287,Vaginal,279
Human,3287,Sci-Fi,263
Human,3287,Fox,254
Human,3287,Female,247
Human,3287,Gay,237
Human,3287,Magic,236
Human,3287,Romance,223
Human,3287,pokemon,206
Human,3287,Cum,192
Oral,2672,Anal,1393
Oral,2672,M/M,1367
Oral,2672,M/F,875
Oral,2672,Vaginal,623
Oral,2672,Wolf,597
Oral,2672,Gay,544
Oral,2672,Cum,472
Oral,2672,Human,450
Oral,2672,Fox,436
Oral,2672,Male,347
Oral,2672,Dragon,333
Oral,2672,Rimming,274
Oral,2672,Canine,267
Oral,2672,Knot,238
Oral,2672,Incest,236
Oral,2672,Feline,233
Oral,2672,Domination/Submission,222
Oral,2672,Masturbation,222
Oral,2672,First Time,215
Oral,2672,Love,202
Oral,2672,Story Series,200
Oral,2672,Blowjob,196
Oral,2672,Horse,192
Oral,2672,Transformation,192
Anal,2539,M/M,1732
Anal,2539,Oral,1393
Anal,2539,Gay,685
Anal,2539,Wolf,587
Anal,2539,Cum,446
Anal,2539,M/F,439
Anal,2539,Fox,414
Anal,2539,Human,390
Anal,2539,Vaginal,341
Anal,2539,Dragon,315
Anal,2539,Rimming,313
Anal,2539,Male,312
Anal,2539,Knot,280
Anal,2539,Canine,245
Anal,2539,Domination/Submission,236
Anal,2539,Horse,203
Anal,2539,Incest,200
Anal,2539,Rape,200
Anal,2539,Bondage,194
Anal,2539,Feline,194
Anal,2539,Masturbation,193
